ID,Naziv,Ulica,Kraj,Postna_stevilka,Smer,Stopnja
172,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Uporabna statistika,MAG
173,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Varstvo okolja,DR
174,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Javna uprava,UNI
175,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Upravno pravo,VSŠ
176,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Javna uprava,MAG
177,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Javna uprava,DR
178,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Mednarodne in diplomatske študije,MAG
179,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Mednarodne in diplomatske študije,DR
180,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Elektrotehnika,VSŠ
181,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Elektrotehnika,UNI
182,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Informatika in tehnologije komuniciranja,VSŠ
183,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Informatika in tehnologije komuniciranja,UNI
184,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Medijske komunikacije,UNI
185,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Mehatronika,VSŠ
186,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Mehatronika,UNI
187,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Raèunalništvo in informacijske tehnologije,VSŠ
188,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Raèunalništvo in informacijske tehnologije,UNI
189,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Telekomunikacije,UNI
190,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Elektrotehnika,MAG
191,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Elektrotehnika,DR
192,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Informatika in tehnologije komuniciranja,MAG
193,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Medijske komunikacije,MAG
194,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Medijske komunikacije,DR
195,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Mehatronika,MAG
196,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Raèunalništvo in informacijske tehnologije,MAG
197,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Raèunalništvo in informatika,DR
198,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Telekomunikacije,MAG
199,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Aplikativna elektrotehnika,VSŠ
200,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Elektrotehnika,UNI
201,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Multimedija,UNI
202,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Bioznanosti,DR
203,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Elektrotehnika,MAG
204,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Elektrotehnika,DR
205,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Multimedija,MAG
206,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Uporabna statistika,MAG
207,Fakulteta za energetiko,Hoèevarjev trg 1,Krško,8270,Energetika,VSŠ
208,Fakulteta za energetiko,Hoèevarjev trg 1,Krško,8270,Energetika,UNI
209,Fakulteta za energetiko,Hoèevarjev trg 1,Krško,8270,Energetika,MAG
210,Fakulteta za energetiko,Hoèevarjev trg 1,Krško,8270,Energetika,DR
211,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Kozmetologija,UNI
212,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Laboratorijska biomedicina,UNI
213,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Biomedicina,DR
214,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Industrijska farmacija,MAG
215,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Laboratorijska biomedicina,MAG
216,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Arhitektura,UNI
217,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gospodarsko inženirstvo - smer gradbeništvo,UNI
218,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gradbeništvo,VSŠ
219,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gradbeništvo,UNI
220,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Prometno inženirstvo,VSŠ
221,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Prometno inženirstvo,UNI
222,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Arhitektura,MAG
223,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Arhitektura (v anglešèini),MAG
224,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gospodarsko inženirstvo – smer gradbeništvo,MAG
225,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gradbeništvo,MAG
226,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gradbeništvo,DR
227,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Informacijske tehnologije v gradbeništvu,MAG
228,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Prometno inženirstvo,MAG
229,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Prometno inženirstvo,DR
230,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemija,UNI
231,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemijska tehnologija,VSŠ
232,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemijska tehnologija,UNI
